% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 09:03
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% H_cone (m)             R_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
5.0E-6                   5.0E-5                   6000                     6.727027059564187E-5
5.0E-6                   5.0E-5                   7000                     7.266420760280476E-5
5.0E-6                   5.0E-5                   8000                     7.768264073386314E-5
5.0E-6                   5.0E-5                   9000                     8.238855027350874E-5
5.0E-6                   5.0E-5                   10000                    8.683121851237617E-5
5.0E-6                   5.0E-5                   20000                    1.2161190544269432E-4
5.0E-6                   5.0E-5                   30000                    1.4390897694269912E-4
5.0E-6                   5.0E-5                   40000                    1.576211186471009E-4
5.0E-6                   5.0E-5                   50000                    1.65593054717261E-4
5.0E-6                   5.0E-5                   60000                    1.700475110350762E-4
5.0E-6                   5.0E-5                   70000                    1.7245584018962763E-4
5.0E-6                   5.0E-5                   80000                    1.7371368321766328E-4
5.0E-6                   5.0E-5                   90000                    1.744404946784606E-4
5.0E-6                   5.0E-5                   100000                   1.7491181510892806E-4
5.0E-6                   5.0E-5                   110000                   1.7520566733625952E-4
5.0E-6                   5.0E-5                   120000                   1.754257914398669E-4
5.0E-6                   5.0E-5                   130000                   1.7557048819494918E-4
5.0E-6                   5.0E-5                   140000                   1.7565985923806128E-4
5.0E-6                   5.0E-5                   150000                   1.757074819166512E-4
5.0E-6                   5.0E-5                   160000                   1.7573369786597485E-4
5.0E-6                   5.0E-5                   170000                   1.7574103802477225E-4
5.0E-6                   5.0E-5                   180000                   1.7574391356632937E-4
5.0E-6                   5.0E-5                   190000                   1.7574076089044353E-4
5.0E-6                   5.0E-5                   200000                   1.7573804790273247E-4
5.0E-6                   8.0E-5                   0                        0
5.0E-6                   8.0E-5                   0.1                      0
5.0E-6                   8.0E-5                   0.2                      0
5.0E-6                   8.0E-5                   0.30000000000000004      0
5.0E-6                   8.0E-5                   0.4                      0
5.0E-6                   8.0E-5                   0.5                      0
5.0E-6                   8.0E-5                   0.6000000000000001       0
5.0E-6                   8.0E-5                   0.7000000000000001       0
5.0E-6                   8.0E-5                   0.8                      0
5.0E-6                   8.0E-5                   0.9                      0
5.0E-6                   8.0E-5                   1                        1.0868646421915588E-6
5.0E-6                   8.0E-5                   1.1                      2.0146110219412554E-6
5.0E-6                   8.0E-5                   1.2000000000000002       2.027790313626606E-6
5.0E-6                   8.0E-5                   1.3                      2.040921723118608E-6
5.0E-6                   8.0E-5                   1.4000000000000001       2.0540149873427036E-6
5.0E-6                   8.0E-5                   1.5                      2.0670463527626057E-6
5.0E-6                   8.0E-5                   1.6                      2.080042355476849E-6
5.0E-6                   8.0E-5                   1.7000000000000002       2.093006036040286E-6
5.0E-6                   8.0E-5                   1.8                      2.10591907769807E-6
5.0E-6                   8.0E-5                   1.9000000000000001       2.1187486886744404E-6
5.0E-6                   8.0E-5                   2                        2.131549149488281E-6
5.0E-6                   8.0E-5                   5                        2.498147641813528E-6
5.0E-6                   8.0E-5                   10                       3.0487796484181863E-6
5.0E-6                   8.0E-5                   100                      8.622412626413279E-6
5.0E-6                   8.0E-5                   100                      8.622412626413279E-6
5.0E-6                   8.0E-5                   200                      1.2247079056115781E-5
5.0E-6                   8.0E-5                   300                      1.5024675065292305E-5
5.0E-6                   8.0E-5                   400                      1.735706950415552E-5
5.0E-6                   8.0E-5                   500                      1.9407038633540278E-5
5.0E-6                   8.0E-5                   600                      2.1268941138286617E-5
5.0E-6                   8.0E-5                   700                      2.2982937280011465E-5
5.0E-6                   8.0E-5                   800                      2.4573158210089886E-5
5.0E-6                   8.0E-5                   900                      2.6063387468755066E-5
5.0E-6                   8.0E-5                   1000                     2.74708990479819E-5
5.0E-6                   8.0E-5                   2000                     3.884135379693579E-5
5.0E-6                   8.0E-5                   3000                     4.756886252304582E-5
5.0E-6                   8.0E-5                   4000                     5.4932076049585305E-5
5.0E-6                   8.0E-5                   5000                     6.141183335506873E-5
5.0E-6                   8.0E-5                   6000                     6.72750965877063E-5
5.0E-6                   8.0E-5                   7000                     7.266958366802059E-5
5.0E-6                   8.0E-5                   8000                     7.768858648016397E-5
5.0E-6                   8.0E-5                   9000                     8.239541275314933E-5
5.0E-6                   8.0E-5                   10000                    8.68373095648578E-5
5.0E-6                   8.0E-5                   20000                    1.2150066215590511E-4
5.0E-6                   8.0E-5                   30000                    1.434903764330388E-4
5.0E-6                   8.0E-5                   40000                    1.5683769520229658E-4
5.0E-6                   8.0E-5                   50000                    1.644861754911318E-4
5.0E-6                   8.0E-5                   60000                    1.6870073245419244E-4
5.0E-6                   8.0E-5                   70000                    1.7092886257577382E-4
5.0E-6                   8.0E-5                   80000                    1.7205295535458427E-4
5.0E-6                   8.0E-5                   90000                    1.7272066231601037E-4
5.0E-6                   8.0E-5                   100000                   1.731640402689555E-4
5.0E-6                   8.0E-5                   110000                   1.734824232369194E-4
5.0E-6                   8.0E-5                   120000                   1.7362337413821105E-4
5.0E-6                   8.0E-5                   130000                   1.7372612047971298E-4
5.0E-6                   8.0E-5                   140000                   1.7378737840937722E-4
5.0E-6                   8.0E-5                   150000                   1.738332798219128E-4
5.0E-6                   8.0E-5                   160000                   1.7386076396968953E-4
5.0E-6                   8.0E-5                   170000                   1.738814302364881E-4
5.0E-6                   8.0E-5                   180000                   1.7389375038738257E-4
5.0E-6                   8.0E-5                   190000                   1.7390298072576728E-4
5.0E-6                   8.0E-5                   200000                   1.7390850160633033E-4
1.25E-5                  2.0E-5                   0                        0
1.25E-5                  2.0E-5                   0.1                      0
1.25E-5                  2.0E-5                   0.2                      0
1.25E-5                  2.0E-5                   0.30000000000000004      0
1.25E-5                  2.0E-5                   0.4                      0
1.25E-5                  2.0E-5                   0.5                      0
1.25E-5                  2.0E-5                   0.6000000000000001       0
1.25E-5                  2.0E-5                   0.7000000000000001       0
1.25E-5                  2.0E-5                   0.8                      0
1.25E-5                  2.0E-5                   0.9                      0
1.25E-5                  2.0E-5                   1                        1.0705450984084375E-6
1.25E-5                  2.0E-5                   1.1                      1.985104773388258E-6
1.25E-5                  2.0E-5                   1.2000000000000002       1.9985858865248767E-6
1.25E-5                  2.0E-5                   1.3                      2.0120165588822578E-6
1.25E-5                  2.0E-5                   1.4000000000000001       2.0254071171530864E-6
1.25E-5                  2.0E-5                   1.5                      2.0387323776219137E-6
1.25E-5                  2.0E-5                   1.6                      2.05202047862806E-6
