% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 09:03
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% H_cone (m)             R_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
2.0E-5                   5.0E-5                   0.7000000000000001       0
2.0E-5                   5.0E-5                   0.8                      0
2.0E-5                   5.0E-5                   0.9                      0
2.0E-5                   5.0E-5                   1                        1.0830756440059036E-6
2.0E-5                   5.0E-5                   1.1                      2.0044254754035964E-6
2.0E-5                   5.0E-5                   1.2000000000000002       2.0180459238876895E-6
2.0E-5                   5.0E-5                   1.3                      2.0316172589437123E-6
2.0E-5                   5.0E-5                   1.4000000000000001       2.045141702481458E-6
2.0E-5                   5.0E-5                   1.5                      2.0586180620828446E-6
2.0E-5                   5.0E-5                   1.6                      2.072032897378303E-6
2.0E-5                   5.0E-5                   1.7000000000000002       2.085413840706917E-6
2.0E-5                   5.0E-5                   1.8                      2.098760962649955E-6
2.0E-5                   5.0E-5                   1.9000000000000001       2.1120635597187893E-6
2.0E-5                   5.0E-5                   2                        2.1252549735961048E-6
2.0E-5                   5.0E-5                   5                        2.504280486234508E-6
2.0E-5                   5.0E-5                   10                       3.070577620025418E-6
2.0E-5                   5.0E-5                   100                      8.740670520332486E-6
2.0E-5                   5.0E-5                   100                      8.740670520332486E-6
2.0E-5                   5.0E-5                   200                      1.2413831695592558E-5
2.0E-5                   5.0E-5                   300                      1.5237100386841614E-5
2.0E-5                   5.0E-5                   400                      1.7601871287133885E-5
2.0E-5                   5.0E-5                   500                      1.967694411477924E-5
2.0E-5                   5.0E-5                   600                      2.1555458230384206E-5
2.0E-5                   5.0E-5                   700                      2.328461283580363E-5
2.0E-5                   5.0E-5                   800                      2.4893642271058752E-5
2.0E-5                   5.0E-5                   900                      2.6403470778378874E-5
2.0E-5                   5.0E-5                   1000                     2.783046219686121E-5
2.0E-5                   5.0E-5                   2000                     3.936947776806067E-5
2.0E-5                   5.0E-5                   3000                     4.819681364081125E-5
2.0E-5                   5.0E-5                   4000                     5.562174336396884E-5
2.0E-5                   5.0E-5                   5000                     6.217461113495034E-5
2.0E-5                   5.0E-5                   6000                     6.809677725891895E-5
2.0E-5                   5.0E-5                   7000                     7.353248481921564E-5
2.0E-5                   5.0E-5                   8000                     7.858472797203853E-5
2.0E-5                   5.0E-5                   9000                     8.332160263327561E-5
2.0E-5                   5.0E-5                   10000                    8.778086136190276E-5
2.0E-5                   5.0E-5                   20000                    1.2239465011788109E-4
2.0E-5                   5.0E-5                   30000                    1.4392327932682245E-4
2.0E-5                   5.0E-5                   40000                    1.568522445228278E-4
2.0E-5                   5.0E-5                   50000                    1.6416478262097446E-4
2.0E-5                   5.0E-5                   60000                    1.6808645366559897E-4
2.0E-5                   5.0E-5                   70000                    1.6998970293357536E-4
2.0E-5                   5.0E-5                   80000                    1.708436510712608E-4
2.0E-5                   5.0E-5                   90000                    1.7124161183295044E-4
2.0E-5                   5.0E-5                   100000                   1.7158685427575294E-4
2.0E-5                   5.0E-5                   110000                   1.7201858564547037E-4
2.0E-5                   5.0E-5                   120000                   1.721821414470079E-4
2.0E-5                   5.0E-5                   130000                   1.7225790408163417E-4
2.0E-5                   5.0E-5                   140000                   1.72294286401083E-4
2.0E-5                   5.0E-5                   150000                   1.7230115770210612E-4
2.0E-5                   5.0E-5                   160000                   1.7229525587017825E-4
2.0E-5                   5.0E-5                   170000                   1.7228310429372856E-4
2.0E-5                   5.0E-5                   180000                   1.722744480680227E-4
2.0E-5                   5.0E-5                   190000                   1.722675444207296E-4
2.0E-5                   5.0E-5                   200000                   1.7226275822302406E-4
2.0E-5                   8.0E-5                   0                        0
2.0E-5                   8.0E-5                   0.1                      0
2.0E-5                   8.0E-5                   0.2                      0
2.0E-5                   8.0E-5                   0.30000000000000004      0
2.0E-5                   8.0E-5                   0.4                      0
2.0E-5                   8.0E-5                   0.5                      0
2.0E-5                   8.0E-5                   0.6000000000000001       0
2.0E-5                   8.0E-5                   0.7000000000000001       0
2.0E-5                   8.0E-5                   0.8                      0
2.0E-5                   8.0E-5                   0.9                      0
2.0E-5                   8.0E-5                   1                        1.111377828431421E-6
2.0E-5                   8.0E-5                   1.1                      2.0593731289259494E-6
2.0E-5                   8.0E-5                   1.2000000000000002       2.0725104105566607E-6
2.0E-5                   8.0E-5                   1.3                      2.0856020812238185E-6
2.0E-5                   8.0E-5                   1.4000000000000001       2.098657360675145E-6
2.0E-5                   8.0E-5                   1.5                      2.1116537259510624E-6
2.0E-5                   8.0E-5                   1.6                      2.1246163315099714E-6
2.0E-5                   8.0E-5                   1.7000000000000002       2.137547973806555E-6
2.0E-5                   8.0E-5                   1.8                      2.1504311069767816E-6
2.0E-5                   8.0E-5                   1.9000000000000001       2.1632353414778613E-6
2.0E-5                   8.0E-5                   2                        2.176011535603018E-6
2.0E-5                   8.0E-5                   5                        2.5425831271420024E-6
2.0E-5                   8.0E-5                   10                       3.095191933527095E-6
2.0E-5                   8.0E-5                   100                      8.743782117758235E-6
2.0E-5                   8.0E-5                   100                      8.743782117758235E-6
2.0E-5                   8.0E-5                   200                      1.2422836632481791E-5
2.0E-5                   8.0E-5                   300                      1.5240288392273005E-5
2.0E-5                   8.0E-5                   400                      1.760550566702745E-5
2.0E-5                   8.0E-5                   500                      1.9684296402554722E-5
2.0E-5                   8.0E-5                   600                      2.157113918518646E-5
2.0E-5                   8.0E-5                   700                      2.330884128067791E-5
2.0E-5                   8.0E-5                   800                      2.4920965592544075E-5
2.0E-5                   8.0E-5                   900                      2.643155077368246E-5
2.0E-5                   8.0E-5                   1000                     2.7858389905697362E-5
2.0E-5                   8.0E-5                   2000                     3.937914103306876E-5
2.0E-5                   8.0E-5                   3000                     4.821886097420619E-5
2.0E-5                   8.0E-5                   4000                     5.567370324956416E-5
2.0E-5                   8.0E-5                   5000                     6.223512706782127E-5
2.0E-5                   8.0E-5                   6000                     6.816006864780127E-5
2.0E-5                   8.0E-5                   7000                     7.359685065361202E-5
2.0E-5                   8.0E-5                   8000                     7.865023417174158E-5
2.0E-5                   8.0E-5                   9000                     8.341418838329812E-5
2.0E-5                   8.0E-5                   10000                    8.789358884107553E-5
2.0E-5                   8.0E-5                   20000                    1.2165921169126884E-4
2.0E-5                   8.0E-5                   30000                    1.416682058236307E-4
2.0E-5                   8.0E-5                   40000                    1.5297249317263424E-4
2.0E-5                   8.0E-5                   50000                    1.589394167639102E-4
2.0E-5                   8.0E-5                   60000                    1.6189572832974938E-4
2.0E-5                   8.0E-5                   70000                    1.6329935805328756E-4
2.0E-5                   8.0E-5                   80000                    1.64151453609966E-4
2.0E-5                   8.0E-5                   90000                    1.6482403069573292E-4
2.0E-5                   8.0E-5                   100000                   1.6528284911974042E-4
2.0E-5                   8.0E-5                   110000                   1.6540819646477668E-4
2.0E-5                   8.0E-5                   120000                   1.6531245118819082E-4
2.0E-5                   8.0E-5                   130000                   1.6521712669868933E-4
2.0E-5                   8.0E-5                   140000                   1.651577417125465E-4
2.0E-5                   8.0E-5                   150000                   1.6510863311959632E-4
2.0E-5                   8.0E-5                   160000                   1.650835751255647E-4
2.0E-5                   8.0E-5                   170000                   1.6506285382995278E-4
2.0E-5                   8.0E-5                   180000                   1.65052272493603E-4
2.0E-5                   8.0E-5                   190000                   1.6504352386707073E-4
2.0E-5                   8.0E-5                   200000                   1.6503905873397235E-4
2.75E-5                  2.0E-5                   0                        0
2.75E-5                  2.0E-5                   0.1                      0
2.75E-5                  2.0E-5                   0.2                      0
2.75E-5                  2.0E-5                   0.30000000000000004      0
2.75E-5                  2.0E-5                   0.4                      0
2.75E-5                  2.0E-5                   0.5                      0
2.75E-5                  2.0E-5                   0.6000000000000001       0
2.75E-5                  2.0E-5                   0.7000000000000001       0
2.75E-5                  2.0E-5                   0.8                      0
2.75E-5                  2.0E-5                   0.9                      0
2.75E-5                  2.0E-5                   1                        1.0870080152416059E-6
2.75E-5                  2.0E-5                   1.1                      2.015554943889117E-6
2.75E-5                  2.0E-5                   1.2000000000000002       2.0295331348687703E-6
2.75E-5                  2.0E-5                   1.3                      2.043450116408329E-6
2.75E-5                  2.0E-5                   1.4000000000000001       2.0573197162607995E-6
2.75E-5                  2.0E-5                   1.5                      2.0711092319413103E-6
2.75E-5                  2.0E-5                   1.6                      2.0848559187797312E-6
2.75E-5                  2.0E-5                   1.7000000000000002       2.0985639776032164E-6
2.75E-5                  2.0E-5                   1.8                      2.1122223720830733E-6
2.75E-5                  2.0E-5                   1.9000000000000001       2.125811964554856E-6
2.75E-5                  2.0E-5                   2                        2.139365736714755E-6
2.75E-5                  2.0E-5                   5                        2.525633087006427E-6
2.75E-5                  2.0E-5                   10                       3.0977951424406775E-6
2.75E-5                  2.0E-5                   100                      8.80771454353575E-6
2.75E-5                  2.0E-5                   100                      8.80771454353575E-6
2.75E-5                  2.0E-5                   200                      1.2509101357806715E-5
2.75E-5                  2.0E-5                   300                      1.5340802962009134E-5
2.75E-5                  2.0E-5                   400                      1.7732991335678967E-5
2.75E-5                  2.0E-5                   500                      1.983452675807673E-5
2.75E-5                  2.0E-5                   600                      2.172564189702256E-5
2.75E-5                  2.0E-5                   700                      2.3460079714030243E-5
2.75E-5                  2.0E-5                   800                      2.5074447263133916E-5
2.75E-5                  2.0E-5                   900                      2.659283076042234E-5
2.75E-5                  2.0E-5                   1000                     2.803122906694755E-5
2.75E-5                  2.0E-5                   2000                     3.962375902516546E-5
2.75E-5                  2.0E-5                   3000                     4.850358519201293E-5
2.75E-5                  2.0E-5                   4000                     5.597549046202763E-5
2.75E-5                  2.0E-5                   5000                     6.255660328406798E-5
2.75E-5                  2.0E-5                   6000                     6.849546655448449E-5
2.75E-5                  2.0E-5                   7000                     7.394514830647589E-5
2.75E-5                  2.0E-5                   8000                     7.90149482062382E-5
2.75E-5                  2.0E-5                   9000                     8.37585911678118E-5
2.75E-5                  2.0E-5                   10000                    8.823558602773296E-5
2.75E-5                  2.0E-5                   20000                    1.2319126237323537E-4
2.75E-5                  2.0E-5                   30000                    1.4527941806900322E-4
2.75E-5                  2.0E-5                   40000                    1.586267355791374E-4
2.75E-5                  2.0E-5                   50000                    1.6634767278193334E-4
2.75E-5                  2.0E-5                   60000                    1.7056079784635587E-4
2.75E-5                  2.0E-5                   70000                    1.728123454457859E-4
2.75E-5                  2.0E-5                   80000                    1.7391397559401382E-4
2.75E-5                  2.0E-5                   90000                    1.7453731891788242E-4
2.75E-5                  2.0E-5                   100000                   1.749768530799632E-4
2.75E-5                  2.0E-5                   110000                   1.7521401272400615E-4
2.75E-5                  2.0E-5                   120000                   1.7546001314492032E-4
2.75E-5                  2.0E-5                   130000                   1.7562521563564977E-4
2.75E-5                  2.0E-5                   140000                   1.7574108599623315E-4
2.75E-5                  2.0E-5                   150000                   1.7580818975611678E-4
2.75E-5                  2.0E-5                   160000                   1.758473863967767E-4
2.75E-5                  2.0E-5                   170000                   1.7586325600504914E-4
2.75E-5                  2.0E-5                   180000                   1.7586924981320945E-4
2.75E-5                  2.0E-5                   190000                   1.7586930887869456E-4
2.75E-5                  2.0E-5                   200000                   1.7586769898163466E-4
2.75E-5                  5.0E-5                   0                        0
2.75E-5                  5.0E-5                   0.1                      0
2.75E-5                  5.0E-5                   0.2                      0
2.75E-5                  5.0E-5                   0.30000000000000004      0
2.75E-5                  5.0E-5                   0.4                      0
2.75E-5                  5.0E-5                   0.5                      0
2.75E-5                  5.0E-5                   0.6000000000000001       0
2.75E-5                  5.0E-5                   0.7000000000000001       0
2.75E-5                  5.0E-5                   0.8                      0
2.75E-5                  5.0E-5                   0.9                      0
2.75E-5                  5.0E-5                   1                        1.0867084139720652E-6
2.75E-5                  5.0E-5                   1.1                      2.0111293279040407E-6
2.75E-5                  5.0E-5                   1.2000000000000002       2.024938295574755E-6
2.75E-5                  5.0E-5                   1.3                      2.0386986558703026E-6
2.75E-5                  5.0E-5                   1.4000000000000001       2.0524130174690514E-6
2.75E-5                  5.0E-5                   1.5                      2.0660787911332546E-6
2.75E-5                  5.0E-5                   1.6                      2.0796853353582196E-6
2.75E-5                  5.0E-5                   1.7000000000000002       2.0932580630361856E-6
2.75E-5                  5.0E-5                   1.8                      2.106797042581518E-6
2.75E-5                  5.0E-5                   1.9000000000000001       2.120287121145111E-6
2.75E-5                  5.0E-5                   2                        2.1336738355063555E-6
2.75E-5                  5.0E-5                   5                        2.518571564427772E-6
2.75E-5                  5.0E-5                   10                       3.09447804535688E-6
2.75E-5                  5.0E-5                   100                      8.850550083480951E-6
2.75E-5                  5.0E-5                   100                      8.850550083480951E-6
2.75E-5                  5.0E-5                   200                      1.2570429046628554E-5
2.75E-5                  5.0E-5                   300                      1.5417489027317916E-5
2.75E-5                  5.0E-5                   400                      1.7812661733130018E-5
2.75E-5                  5.0E-5                   500                      1.99202700077612E-5
2.75E-5                  5.0E-5                   600                      2.1821835215907625E-5
2.75E-5                  5.0E-5                   700                      2.356952320638678E-5
2.75E-5                  5.0E-5                   800                      2.519441544012047E-5
2.75E-5                  5.0E-5                   900                      2.6719289412114485E-5
2.75E-5                  5.0E-5                   1000                     2.8170639913726317E-5
2.75E-5                  5.0E-5                   2000                     3.9829982410698555E-5
2.75E-5                  5.0E-5                   3000                     4.875322019642639E-5
2.75E-5                  5.0E-5                   4000                     5.627414378010988E-5
2.75E-5                  5.0E-5                   5000                     6.288596564927226E-5
2.75E-5                  5.0E-5                   6000                     6.886222492314872E-5
2.75E-5                  5.0E-5                   7000                     7.434897642389469E-5
2.75E-5                  5.0E-5                   8000                     7.94415292251129E-5
2.75E-5                  5.0E-5                   9000                     8.420538311474003E-5
2.75E-5                  5.0E-5                   10000                    8.869042286928655E-5
2.75E-5                  5.0E-5                   20000                    1.2304799188535013E-4
2.75E-5                  5.0E-5                   30000                    1.4399615877126666E-4
2.75E-5                  5.0E-5                   40000                    1.5620851298844818E-4
2.75E-5                  5.0E-5                   50000                    1.6291896383854567E-4
2.75E-5                  5.0E-5                   60000                    1.6647558210003828E-4
2.75E-5                  5.0E-5                   70000                    1.6841986342974028E-4
2.75E-5                  5.0E-5                   80000                    1.6962466832002945E-4
2.75E-5                  5.0E-5                   90000                    1.7040636845966443E-4
2.75E-5                  5.0E-5                   100000                   1.708175888078757E-4
2.75E-5                  5.0E-5                   110000                   1.7093984637873362E-4
2.75E-5                  5.0E-5                   120000                   1.7086802421101722E-4
2.75E-5                  5.0E-5                   130000                   1.7081136834820143E-4
2.75E-5                  5.0E-5                   140000                   1.7071405405161597E-4
2.75E-5                  5.0E-5                   150000                   1.7065157896156688E-4
2.75E-5                  5.0E-5                   160000                   1.7060234740406868E-4
2.75E-5                  5.0E-5                   170000                   1.7057464959739245E-4
2.75E-5                  5.0E-5                   180000                   1.705530359584805E-4
2.75E-5                  5.0E-5                   190000                   1.7054130812725442E-4
2.75E-5                  5.0E-5                   200000                   1.7053216332859014E-4
2.75E-5                  8.0E-5                   0                        0
2.75E-5                  8.0E-5                   0.1                      0
2.75E-5                  8.0E-5                   0.2                      0
2.75E-5                  8.0E-5                   0.30000000000000004      0
2.75E-5                  8.0E-5                   0.4                      0
2.75E-5                  8.0E-5                   0.5                      0
2.75E-5                  8.0E-5                   0.6000000000000001       0
2.75E-5                  8.0E-5                   0.7000000000000001       0
2.75E-5                  8.0E-5                   0.8                      0
2.75E-5                  8.0E-5                   0.9                      0
2.75E-5                  8.0E-5                   1                        1.1181524397875324E-6
2.75E-5                  8.0E-5                   1.1                      2.068425144969897E-6
2.75E-5                  8.0E-5                   1.2000000000000002       2.081952949344189E-6
2.75E-5                  8.0E-5                   1.3                      2.0954338595085145E-6
2.75E-5                  8.0E-5                   1.4000000000000001       2.1088701478452547E-6
2.75E-5                  8.0E-5                   1.5                      2.1222602449506994E-6
2.75E-5                  8.0E-5                   1.6                      2.1355920776877013E-6
2.75E-5                  8.0E-5                   1.7000000000000002       2.1488915474650586E-6
2.75E-5                  8.0E-5                   1.8                      2.1621587127861583E-6
2.75E-5                  8.0E-5                   1.9000000000000001       2.1753818314605693E-6
2.75E-5                  8.0E-5                   2                        2.188501129418098E-6
2.75E-5                  8.0E-5                   5                        2.5649874512385625E-6
2.75E-5                  8.0E-5                   10                       3.130219503410402E-6
2.75E-5                  8.0E-5                   100                      8.8621816111573E-6
2.75E-5                  8.0E-5                   100                      8.8621816111573E-6
2.75E-5                  8.0E-5                   200                      1.258485369682622E-5
2.75E-5                  8.0E-5                   300                      1.5438251478771587E-5
2.75E-5                  8.0E-5                   400                      1.7835238524800142E-5
2.75E-5                  8.0E-5                   500                      1.9942720160132357E-5
2.75E-5                  8.0E-5                   600                      2.1844739717205058E-5
2.75E-5                  8.0E-5                   700                      2.360621779495613E-5
2.75E-5                  8.0E-5                   800                      2.5243211511872926E-5
2.75E-5                  8.0E-5                   900                      2.677569187446966E-5
2.75E-5                  8.0E-5                   1000                     2.8221928758796426E-5
2.75E-5                  8.0E-5                   2000                     3.988129720337188E-5
2.75E-5                  8.0E-5                   3000                     4.882794692260395E-5
2.75E-5                  8.0E-5                   4000                     5.636673581042702E-5
2.75E-5                  8.0E-5                   5000                     6.30007450221064E-5
2.75E-5                  8.0E-5                   6000                     6.897732757801345E-5
2.75E-5                  8.0E-5                   7000                     7.445535532059767E-5
2.75E-5                  8.0E-5                   8000                     7.951872131347864E-5
2.75E-5                  8.0E-5                   9000                     8.425486261498573E-5
2.75E-5                  8.0E-5                   10000                    8.87192259410255E-5
2.75E-5                  8.0E-5                   20000                    1.2163754381652107E-4
2.75E-5                  8.0E-5                   30000                    1.4026560391040957E-4
2.75E-5                  8.0E-5                   40000                    1.503040044101562E-4
2.75E-5                  8.0E-5                   50000                    1.5544599516425722E-4
2.75E-5                  8.0E-5                   60000                    1.5801535269801078E-4
2.75E-5                  8.0E-5                   70000                    1.5930694040387772E-4
2.75E-5                  8.0E-5                   80000                    1.5999006873486984E-4
2.75E-5                  8.0E-5                   90000                    1.6037602857703678E-4
2.75E-5                  8.0E-5                   100000                   1.605789667459908E-4
2.75E-5                  8.0E-5                   110000                   1.6066106814677055E-4
2.75E-5                  8.0E-5                   120000                   1.606554603454696E-4
2.75E-5                  8.0E-5                   130000                   1.6062570765884465E-4
2.75E-5                  8.0E-5                   140000                   1.6058640998823745E-4
2.75E-5                  8.0E-5                   150000                   1.6056958384613794E-4
2.75E-5                  8.0E-5                   160000                   1.6055493673697754E-4
2.75E-5                  8.0E-5                   170000                   1.6055932138685268E-4
2.75E-5                  8.0E-5                   180000                   1.6056191837754405E-4
2.75E-5                  8.0E-5                   190000                   1.6056959079257589E-4
2.75E-5                  8.0E-5                   200000                   1.6057412416707213E-4
3.5000000000000004E-5    2.0E-5                   0                        0
3.5000000000000004E-5    2.0E-5                   0.1                      0
3.5000000000000004E-5    2.0E-5                   0.2                      0
3.5000000000000004E-5    2.0E-5                   0.30000000000000004      0
3.5000000000000004E-5    2.0E-5                   0.4                      0
3.5000000000000004E-5    2.0E-5                   0.5                      0
3.5000000000000004E-5    2.0E-5                   0.6000000000000001       0
3.5000000000000004E-5    2.0E-5                   0.7000000000000001       0
3.5000000000000004E-5    2.0E-5                   0.8                      0
3.5000000000000004E-5    2.0E-5                   0.9                      0
3.5000000000000004E-5    2.0E-5                   1                        1.0988415474700158E-6
3.5000000000000004E-5    2.0E-5                   1.1                      2.0373269015808465E-6
3.5000000000000004E-5    2.0E-5                   1.2000000000000002       2.051341235184754E-6
3.5000000000000004E-5    2.0E-5                   1.3                      2.0652935624715285E-6
3.5000000000000004E-5    2.0E-5                   1.4000000000000001       2.079198794004529E-6
3.5000000000000004E-5    2.0E-5                   1.5                      2.093044691235006E-6
3.5000000000000004E-5    2.0E-5                   1.6                      2.1068476137230236E-6
3.5000000000000004E-5    2.0E-5                   1.7000000000000002       2.1205923739351153E-6
3.5000000000000004E-5    2.0E-5                   1.8                      2.1342966590710774E-6
3.5000000000000004E-5    2.0E-5                   1.9000000000000001       2.1479482695071685E-6
3.5000000000000004E-5    2.0E-5                   2                        2.1615528305062847E-6
3.5000000000000004E-5    2.0E-5                   5                        2.5494620540567035E-6
3.5000000000000004E-5    2.0E-5                   10                       3.1260326416052605E-6
3.5000000000000004E-5    2.0E-5                   100                      8.896852537273893E-6
3.5000000000000004E-5    2.0E-5                   100                      8.896852537273893E-6
3.5000000000000004E-5    2.0E-5                   200                      1.2634422501539847E-5
3.5000000000000004E-5    2.0E-5                   300                      1.5497127067281065E-5
3.5000000000000004E-5    2.0E-5                   400                      1.7907283234978385E-5
3.5000000000000004E-5    2.0E-5                   500                      2.0027204902632195E-5
3.5000000000000004E-5    2.0E-5                   600                      2.1943386011974937E-5
3.5000000000000004E-5    2.0E-5                   700                      2.3702676431464912E-5
3.5000000000000004E-5    2.0E-5                   800                      2.533847058782503E-5
3.5000000000000004E-5    2.0E-5                   900                      2.687251916966499E-5
3.5000000000000004E-5    2.0E-5                   1000                     2.8322795136545684E-5
3.5000000000000004E-5    2.0E-5                   2000                     4.004072953755555E-5
3.5000000000000004E-5    2.0E-5                   3000                     4.9014863610947215E-5
3.5000000000000004E-5    2.0E-5                   4000                     5.6572116360799664E-5
3.5000000000000004E-5    2.0E-5                   5000                     6.321364736593697E-5
3.5000000000000004E-5    2.0E-5                   6000                     6.920178068183648E-5
3.5000000000000004E-5    2.0E-5                   7000                     7.473838483891886E-5
3.5000000000000004E-5    2.0E-5                   8000                     7.987617533588298E-5
3.5000000000000004E-5    2.0E-5                   9000                     8.467588843996613E-5
3.5000000000000004E-5    2.0E-5                   10000                    8.919305272792745E-5
3.5000000000000004E-5    2.0E-5                   20000                    1.2409608880234476E-4
3.5000000000000004E-5    2.0E-5                   30000                    1.460131535584108E-4
3.5000000000000004E-5    2.0E-5                   40000                    1.593617010551502E-4
3.5000000000000004E-5    2.0E-5                   50000                    1.670547139068278E-4
3.5000000000000004E-5    2.0E-5                   60000                    1.7125979519164928E-4
3.5000000000000004E-5    2.0E-5                   70000                    1.7340229547423098E-4
3.5000000000000004E-5    2.0E-5                   80000                    1.7441061656610384E-4
3.5000000000000004E-5    2.0E-5                   90000                    1.748846879217604E-4
3.5000000000000004E-5    2.0E-5                   100000                   1.750259281928376E-4
3.5000000000000004E-5    2.0E-5                   110000                   1.7512573885699622E-4
3.5000000000000004E-5    2.0E-5                   120000                   1.7526929250442572E-4
3.5000000000000004E-5    2.0E-5                   130000                   1.7538269738834984E-4
3.5000000000000004E-5    2.0E-5                   140000                   1.7544632974572497E-4
3.5000000000000004E-5    2.0E-5                   150000                   1.7549709170869122E-4
3.5000000000000004E-5    2.0E-5                   160000                   1.7552631035088435E-4
3.5000000000000004E-5    2.0E-5                   170000                   1.755492661579155E-4
3.5000000000000004E-5    2.0E-5                   180000                   1.755617313917762E-4
3.5000000000000004E-5    2.0E-5                   190000                   1.7557150004680696E-4
3.5000000000000004E-5    2.0E-5                   200000                   1.755767503388926E-4
3.5000000000000004E-5    5.0E-5                   0                        0
3.5000000000000004E-5    5.0E-5                   0.1                      0
3.5000000000000004E-5    5.0E-5                   0.2                      0
3.5000000000000004E-5    5.0E-5                   0.30000000000000004      0
3.5000000000000004E-5    5.0E-5                   0.4                      0
3.5000000000000004E-5    5.0E-5                   0.5                      0
3.5000000000000004E-5    5.0E-5                   0.6000000000000001       0
3.5000000000000004E-5    5.0E-5                   0.7000000000000001       0
3.5000000000000004E-5    5.0E-5                   0.8                      0
3.5000000000000004E-5    5.0E-5                   0.9                      0
3.5000000000000004E-5    5.0E-5                   1                        1.0800435580849244E-6
3.5000000000000004E-5    5.0E-5                   1.1                      1.9976534314800806E-6
3.5000000000000004E-5    5.0E-5                   1.2000000000000002       2.0121122104742756E-6
3.5000000000000004E-5    5.0E-5                   1.3                      2.0265181190746987E-6
3.5000000000000004E-5    5.0E-5                   1.4000000000000001       2.0408642289179458E-6
3.5000000000000004E-5    5.0E-5                   1.5                      2.0551703285788036E-6
3.5000000000000004E-5    5.0E-5                   1.6                      2.0693960879361014E-6
3.5000000000000004E-5    5.0E-5                   1.7000000000000002       2.0835761159547994E-6
3.5000000000000004E-5    5.0E-5                   1.8                      2.0977190303456327E-6
3.5000000000000004E-5    5.0E-5                   1.9000000000000001       2.111824913009588E-6
3.5000000000000004E-5    5.0E-5                   2                        2.1258694361441615E-6
3.5000000000000004E-5    5.0E-5                   5                        2.5265006632746448E-6
3.5000000000000004E-5    5.0E-5                   10                       3.122778071568828E-6
3.5000000000000004E-5    5.0E-5                   100                      8.988287432563132E-6
3.5000000000000004E-5    5.0E-5                   100                      8.988287432563132E-6
3.5000000000000004E-5    5.0E-5                   200                      1.2761700567079903E-5
3.5000000000000004E-5    5.0E-5                   300                      1.5660569608055848E-5
3.5000000000000004E-5    5.0E-5                   400                      1.809136436384795E-5
3.5000000000000004E-5    5.0E-5                   500                      2.022378076620832E-5
3.5000000000000004E-5    5.0E-5                   600                      2.214998716856853E-5
3.5000000000000004E-5    5.0E-5                   700                      2.392555968067737E-5
3.5000000000000004E-5    5.0E-5                   800                      2.557890046541508E-5
3.5000000000000004E-5    5.0E-5                   900                      2.7130821955475694E-5
3.5000000000000004E-5    5.0E-5                   1000                     2.859758257212426E-5
3.5000000000000004E-5    5.0E-5                   2000                     4.041978156694094E-5
3.5000000000000004E-5    5.0E-5                   3000                     4.94739224630959E-5
3.5000000000000004E-5    5.0E-5                   4000                     5.7095216029825865E-5
3.5000000000000004E-5    5.0E-5                   5000                     6.37819475816783E-5
3.5000000000000004E-5    5.0E-5                   6000                     6.981272623955221E-5
3.5000000000000004E-5    5.0E-5                   7000                     7.53413347003498E-5
3.5000000000000004E-5    5.0E-5                   8000                     8.046319259495748E-5
3.5000000000000004E-5    5.0E-5                   9000                     8.524212356918208E-5
3.5000000000000004E-5    5.0E-5                   10000                    8.973006964611624E-5
3.5000000000000004E-5    5.0E-5                   20000                    1.2369863069520423E-4
3.5000000000000004E-5    5.0E-5                   30000                    1.4407061887875637E-4
3.5000000000000004E-5    5.0E-5                   40000                    1.556993993638511E-4
3.5000000000000004E-5    5.0E-5                   50000                    1.6197900508922028E-4
3.5000000000000004E-5    5.0E-5                   60000                    1.651968993986315E-4
3.5000000000000004E-5    5.0E-5                   70000                    1.669197271797701E-4
3.5000000000000004E-5    5.0E-5                   80000                    1.6797910173445572E-4
3.5000000000000004E-5    5.0E-5                   90000                    1.6869807036591446E-4
3.5000000000000004E-5    5.0E-5                   100000                   1.6903607804626648E-4
3.5000000000000004E-5    5.0E-5                   110000                   1.690447095796331E-4
3.5000000000000004E-5    5.0E-5                   120000                   1.6904089353247581E-4
3.5000000000000004E-5    5.0E-5                   130000                   1.6897700434277243E-4
3.5000000000000004E-5    5.0E-5                   140000                   1.6891043154980377E-4
3.5000000000000004E-5    5.0E-5                   150000                   1.688641177948239E-4
3.5000000000000004E-5    5.0E-5                   160000                   1.688348953563507E-4
3.5000000000000004E-5    5.0E-5                   170000                   1.688149565792082E-4
3.5000000000000004E-5    5.0E-5                   180000                   1.6880284674801279E-4
3.5000000000000004E-5    5.0E-5                   190000                   1.687946040062518E-4
3.5000000000000004E-5    5.0E-5                   200000                   1.6878962180592928E-4
3.5000000000000004E-5    8.0E-5                   0                        0
3.5000000000000004E-5    8.0E-5                   0.1                      0
3.5000000000000004E-5    8.0E-5                   0.2                      0
3.5000000000000004E-5    8.0E-5                   0.30000000000000004      0
3.5000000000000004E-5    8.0E-5                   0.4                      0
3.5000000000000004E-5    8.0E-5                   0.5                      0
3.5000000000000004E-5    8.0E-5                   0.6000000000000001       0
3.5000000000000004E-5    8.0E-5                   0.7000000000000001       0
3.5000000000000004E-5    8.0E-5                   0.8                      0
3.5000000000000004E-5    8.0E-5                   0.9                      0
