% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 27 2026, 14:14
% Table:              Table 3 - Global Evaluation 2 (n_CO2_film)
% R_texture (m)          H_cone (m)               t (s)                    Total moles of CO2 captured per unit cell (mol)
2.0E-5                   2.75E-5                  100                      8.809984210275938E-6
2.0E-5                   2.75E-5                  100                      8.809984210275938E-6
2.0E-5                   2.75E-5                  200                      1.2512059246963851E-5
2.0E-5                   2.75E-5                  300                      1.5348609467861608E-5
2.0E-5                   2.75E-5                  400                      1.7731651811162926E-5
2.0E-5                   2.75E-5                  500                      1.9823455950524776E-5
2.0E-5                   2.75E-5                  600                      2.17090709391305E-5
2.0E-5                   2.75E-5                  700                      2.3442377199675618E-5
2.0E-5                   2.75E-5                  800                      2.5062251148206647E-5
2.0E-5                   2.75E-5                  900                      2.658616728438101E-5
2.0E-5                   2.75E-5                  1000                     2.8027898868765323E-5
2.0E-5                   2.75E-5                  2000                     3.9621191678644384E-5
2.0E-5                   2.75E-5                  3000                     4.848392771200763E-5
2.0E-5                   2.75E-5                  4000                     5.596040690404188E-5
2.0E-5                   2.75E-5                  5000                     6.253869940878747E-5
2.0E-5                   2.75E-5                  6000                     6.847552146395391E-5
2.0E-5                   2.75E-5                  7000                     7.394227851852398E-5
2.0E-5                   2.75E-5                  8000                     7.901673342250943E-5
2.0E-5                   2.75E-5                  9000                     8.377174235409854E-5
2.0E-5                   2.75E-5                  10000                    8.825650379949788E-5
2.0E-5                   2.75E-5                  20000                    1.2313960454684247E-4
2.0E-5                   2.75E-5                  30000                    1.4520996809085768E-4
2.0E-5                   2.75E-5                  40000                    1.587390770937151E-4
2.0E-5                   2.75E-5                  50000                    1.6663784356239674E-4
2.0E-5                   2.75E-5                  60000                    1.7104287400643178E-4
2.0E-5                   2.75E-5                  70000                    1.7335416815720154E-4
2.0E-5                   2.75E-5                  80000                    1.7441577088682397E-4
2.0E-5                   2.75E-5                  90000                    1.7502610720898683E-4
2.0E-5                   2.75E-5                  100000                   1.753491055641254E-4
2.0E-5                   2.75E-5                  110000                   1.7553077604522114E-4
2.0E-5                   2.75E-5                  120000                   1.7564682878752914E-4
2.0E-5                   2.75E-5                  130000                   1.7572358229272087E-4
2.0E-5                   2.75E-5                  140000                   1.7576747840215108E-4
2.0E-5                   2.75E-5                  150000                   1.7580206069267313E-4
2.0E-5                   2.75E-5                  160000                   1.758219987693092E-4
2.0E-5                   2.75E-5                  170000                   1.7583760031501656E-4
2.0E-5                   2.75E-5                  180000                   1.758463804268819E-4
2.0E-5                   2.75E-5                  190000                   1.758532491590899E-4
2.0E-5                   2.75E-5                  200000                   1.7585711065058477E-4
2.0E-5                   3.5000000000000004E-5    0                        0
2.0E-5                   3.5000000000000004E-5    0.1                      0
2.0E-5                   3.5000000000000004E-5    0.2                      0
2.0E-5                   3.5000000000000004E-5    0.30000000000000004      0
2.0E-5                   3.5000000000000004E-5    0.4                      0
2.0E-5                   3.5000000000000004E-5    0.5                      0
2.0E-5                   3.5000000000000004E-5    0.6000000000000001       0
2.0E-5                   3.5000000000000004E-5    0.7000000000000001       0
2.0E-5                   3.5000000000000004E-5    0.8                      0
2.0E-5                   3.5000000000000004E-5    0.9                      0
2.0E-5                   3.5000000000000004E-5    1                        9.694956914412357E-7
2.0E-5                   3.5000000000000004E-5    1.1                      1.813953180212431E-6
2.0E-5                   3.5000000000000004E-5    1.2000000000000002       1.829727905890761E-6
2.0E-5                   3.5000000000000004E-5    1.3                      1.8453207841436616E-6
2.0E-5                   3.5000000000000004E-5    1.4000000000000001       1.8608230452261562E-6
2.0E-5                   3.5000000000000004E-5    1.5                      1.87625347732858E-6
2.0E-5                   3.5000000000000004E-5    1.6                      1.8916297549335222E-6
2.0E-5                   3.5000000000000004E-5    1.7000000000000002       1.9069150676167821E-6
2.0E-5                   3.5000000000000004E-5    1.8                      1.9221386433483515E-6
2.0E-5                   3.5000000000000004E-5    1.9000000000000001       1.937312059657494E-6
2.0E-5                   3.5000000000000004E-5    2                        1.952333278756458E-6
2.0E-5                   3.5000000000000004E-5    5                        2.3773201136825727E-6
2.0E-5                   3.5000000000000004E-5    10                       2.9947879243538107E-6
2.0E-5                   3.5000000000000004E-5    100                      8.899370860920818E-6
2.0E-5                   3.5000000000000004E-5    100                      8.899370860920818E-6
2.0E-5                   3.5000000000000004E-5    200                      1.2646734197237548E-5
2.0E-5                   3.5000000000000004E-5    300                      1.550142557137368E-5
2.0E-5                   3.5000000000000004E-5    400                      1.7910193615555E-5
2.0E-5                   3.5000000000000004E-5    500                      2.002820786850329E-5
2.0E-5                   3.5000000000000004E-5    600                      2.194136247985629E-5
2.0E-5                   3.5000000000000004E-5    700                      2.3702153682980913E-5
2.0E-5                   3.5000000000000004E-5    800                      2.5341070901714614E-5
2.0E-5                   3.5000000000000004E-5    900                      2.68784044135767E-5
2.0E-5                   3.5000000000000004E-5    1000                     2.8331399910146157E-5
2.0E-5                   3.5000000000000004E-5    2000                     4.005738091716278E-5
2.0E-5                   3.5000000000000004E-5    3000                     4.903428135196768E-5
2.0E-5                   3.5000000000000004E-5    4000                     5.659308335404797E-5
2.0E-5                   3.5000000000000004E-5    5000                     6.323531497269207E-5
2.0E-5                   3.5000000000000004E-5    6000                     6.92272546461546E-5
2.0E-5                   3.5000000000000004E-5    7000                     7.47328933287037E-5
2.0E-5                   3.5000000000000004E-5    8000                     7.984548252872205E-5
2.0E-5                   3.5000000000000004E-5    9000                     8.463194323681307E-5
2.0E-5                   3.5000000000000004E-5    10000                    8.914614258108424E-5
2.0E-5                   3.5000000000000004E-5    20000                    1.2409479553711684E-4
2.0E-5                   3.5000000000000004E-5    30000                    1.4598857638236577E-4
2.0E-5                   3.5000000000000004E-5    40000                    1.591044978897752E-4
2.0E-5                   3.5000000000000004E-5    50000                    1.6652830090345E-4
2.0E-5                   3.5000000000000004E-5    60000                    1.706017397995774E-4
2.0E-5                   3.5000000000000004E-5    70000                    1.7276867406716944E-4
2.0E-5                   3.5000000000000004E-5    80000                    1.7393092467925754E-4
2.0E-5                   3.5000000000000004E-5    90000                    1.7460406750891927E-4
2.0E-5                   3.5000000000000004E-5    100000                   1.7500961869334976E-4
2.0E-5                   3.5000000000000004E-5    110000                   1.7526263745734662E-4
2.0E-5                   3.5000000000000004E-5    120000                   1.7541920768435548E-4
2.0E-5                   3.5000000000000004E-5    130000                   1.7552248729837898E-4
2.0E-5                   3.5000000000000004E-5    140000                   1.7557100696021777E-4
2.0E-5                   3.5000000000000004E-5    150000                   1.75602333719209E-4
2.0E-5                   3.5000000000000004E-5    160000                   1.7560589094655016E-4
2.0E-5                   3.5000000000000004E-5    170000                   1.7560936358140632E-4
2.0E-5                   3.5000000000000004E-5    180000                   1.7560354391265705E-4
2.0E-5                   3.5000000000000004E-5    190000                   1.7559895277951263E-4
2.0E-5                   3.5000000000000004E-5    200000                   1.7559471777719743E-4
5.0E-5                   5.0E-6                   0                        0
5.0E-5                   5.0E-6                   0.1                      0
5.0E-5                   5.0E-6                   0.2                      0
5.0E-5                   5.0E-6                   0.30000000000000004      0
5.0E-5                   5.0E-6                   0.4                      0
5.0E-5                   5.0E-6                   0.5                      0
5.0E-5                   5.0E-6                   0.6000000000000001       0
5.0E-5                   5.0E-6                   0.7000000000000001       0
5.0E-5                   5.0E-6                   0.8                      0
5.0E-5                   5.0E-6                   0.9                      0
5.0E-5                   5.0E-6                   1                        9.463628770893391E-7
5.0E-5                   5.0E-6                   1.1                      1.7725828088849564E-6
5.0E-5                   5.0E-6                   1.2000000000000002       1.7876514165741058E-6
5.0E-5                   5.0E-6                   1.3                      1.8027377560429482E-6
5.0E-5                   5.0E-6                   1.4000000000000001       1.8177377188710705E-6
5.0E-5                   5.0E-6                   1.5                      1.832673834181183E-6
5.0E-5                   5.0E-6                   1.6                      1.8475583022395596E-6
5.0E-5                   5.0E-6                   1.7000000000000002       1.862310007336252E-6
5.0E-5                   5.0E-6                   1.8                      1.876999561044585E-6
5.0E-5                   5.0E-6                   1.9000000000000001       1.891643461267845E-6
5.0E-5                   5.0E-6                   2                        1.9062417970530198E-6
5.0E-5                   5.0E-6                   5                        2.31658066599562E-6
5.0E-5                   5.0E-6                   10                       2.9160868787726867E-6
5.0E-5                   5.0E-6                   100                      8.628415064480913E-6
5.0E-5                   5.0E-6                   100                      8.628415064480913E-6
5.0E-5                   5.0E-6                   200                      1.2252876097618835E-5
5.0E-5                   5.0E-6                   300                      1.5019824815640672E-5
5.0E-5                   5.0E-6                   400                      1.735436855243709E-5
5.0E-5                   5.0E-6                   500                      1.941490504247184E-5
5.0E-5                   5.0E-6                   600                      2.1271281618585026E-5
5.0E-5                   5.0E-6                   700                      2.297464333458036E-5
5.0E-5                   5.0E-6                   800                      2.4558739863031505E-5
5.0E-5                   5.0E-6                   900                      2.6043912198217012E-5
5.0E-5                   5.0E-6                   1000                     2.7448107430400386E-5
5.0E-5                   5.0E-6                   2000                     3.882371906457725E-5
5.0E-5                   5.0E-6                   3000                     4.75626977565424E-5
5.0E-5                   5.0E-6                   4000                     5.491234670240285E-5
5.0E-5                   5.0E-6                   5000                     6.13808043614757E-5
5.0E-5                   5.0E-6                   6000                     6.7247581068599E-5
5.0E-5                   5.0E-6                   7000                     7.264359808297941E-5
5.0E-5                   5.0E-6                   8000                     7.765289683637296E-5
5.0E-5                   5.0E-6                   9000                     8.235179944141277E-5
5.0E-5                   5.0E-6                   10000                    8.678954526498561E-5
5.0E-5                   5.0E-6                   20000                    1.2157478777502899E-4
5.0E-5                   5.0E-6                   30000                    1.4388715332521118E-4
5.0E-5                   5.0E-6                   40000                    1.575948146516645E-4
5.0E-5                   5.0E-6                   50000                    1.6556839265028124E-4
5.0E-5                   5.0E-6                   60000                    1.700189576782998E-4
5.0E-5                   5.0E-6                   70000                    1.724378713924861E-4
5.0E-5                   5.0E-6                   80000                    1.7377544800445136E-4
5.0E-5                   5.0E-6                   90000                    1.7451639162265265E-4
5.0E-5                   5.0E-6                   100000                   1.749669185871545E-4
5.0E-5                   5.0E-6                   110000                   1.752888471880839E-4
5.0E-5                   5.0E-6                   120000                   1.7549085182599252E-4
5.0E-5                   5.0E-6                   130000                   1.756067345811274E-4
5.0E-5                   5.0E-6                   140000                   1.7568416094223928E-4
5.0E-5                   5.0E-6                   150000                   1.7571951214396945E-4
5.0E-5                   5.0E-6                   160000                   1.757421800333872E-4
5.0E-5                   5.0E-6                   170000                   1.7574363220577323E-4
5.0E-5                   5.0E-6                   180000                   1.7574508176963644E-4
5.0E-5                   5.0E-6                   190000                   1.7574037301891707E-4
5.0E-5                   5.0E-6                   200000                   1.7573657229613785E-4
5.0E-5                   1.25E-5                  0                        0
5.0E-5                   1.25E-5                  0.1                      0
5.0E-5                   1.25E-5                  0.2                      0
5.0E-5                   1.25E-5                  0.30000000000000004      0
5.0E-5                   1.25E-5                  0.4                      0
5.0E-5                   1.25E-5                  0.5                      0
5.0E-5                   1.25E-5                  0.6000000000000001       0
5.0E-5                   1.25E-5                  0.7000000000000001       0
5.0E-5                   1.25E-5                  0.8                      0
5.0E-5                   1.25E-5                  0.9                      0
5.0E-5                   1.25E-5                  1                        9.46613416314309E-7
5.0E-5                   1.25E-5                  1.1                      1.7724464922031274E-6
5.0E-5                   1.25E-5                  1.2000000000000002       1.787814506591874E-6
5.0E-5                   1.25E-5                  1.3                      1.8030132059363853E-6
5.0E-5                   1.25E-5                  1.4000000000000001       1.818128021106085E-6
5.0E-5                   1.25E-5                  1.5                      1.8331745072125795E-6
5.0E-5                   1.25E-5                  1.6                      1.8481689403756072E-6
5.0E-5                   1.25E-5                  1.7000000000000002       1.8630366768779084E-6
5.0E-5                   1.25E-5                  1.8                      1.8778333748810536E-6
5.0E-5                   1.25E-5                  1.9000000000000001       1.8925840977094506E-6
5.0E-5                   1.25E-5                  2                        1.9072889343381923E-6
5.0E-5                   1.25E-5                  5                        2.320802903239585E-6
5.0E-5                   1.25E-5                  10                       2.9240558365340356E-6
5.0E-5                   1.25E-5                  100                      8.672782862551318E-6
5.0E-5                   1.25E-5                  100                      8.672782862551318E-6
5.0E-5                   1.25E-5                  200                      1.2314294765467768E-5
5.0E-5                   1.25E-5                  300                      1.509415374450586E-5
5.0E-5                   1.25E-5                  400                      1.7439223376893304E-5
5.0E-5                   1.25E-5                  500                      1.9509617114463598E-5
5.0E-5                   1.25E-5                  600                      2.137614695624569E-5
5.0E-5                   1.25E-5                  700                      2.3087851865665157E-5
5.0E-5                   1.25E-5                  800                      2.467930350064794E-5
5.0E-5                   1.25E-5                  900                      2.617113541909285E-5
5.0E-5                   1.25E-5                  1000                     2.7581404911362373E-5
5.0E-5                   1.25E-5                  2000                     3.9005999415740775E-5
5.0E-5                   1.25E-5                  3000                     4.777865017277921E-5
5.0E-5                   1.25E-5                  4000                     5.515817503801684E-5
5.0E-5                   1.25E-5                  5000                     6.164876997872073E-5
5.0E-5                   1.25E-5                  6000                     6.75324539272408E-5
5.0E-5                   1.25E-5                  7000                     7.294757489005606E-5
5.0E-5                   1.25E-5                  8000                     7.797355987325105E-5
5.0E-5                   1.25E-5                  9000                     8.268565129266327E-5
5.0E-5                   1.25E-5                  10000                    8.71319227175085E-5
5.0E-5                   1.25E-5                  20000                    1.2181996676020701E-4
5.0E-5                   1.25E-5                  30000                    1.4377352987223513E-4
5.0E-5                   1.25E-5                  40000                    1.5705179810105398E-4
5.0E-5                   1.25E-5                  50000                    1.6464696256304645E-4
5.0E-5                   1.25E-5                  60000                    1.6881256855021543E-4
5.0E-5                   1.25E-5                  70000                    1.7102207984300474E-4
5.0E-5                   1.25E-5                  80000                    1.7221934049159503E-4
5.0E-5                   1.25E-5                  90000                    1.7285522211375105E-4
5.0E-5                   1.25E-5                  100000                   1.7327828504062155E-4
5.0E-5                   1.25E-5                  110000                   1.7356627085310814E-4
5.0E-5                   1.25E-5                  120000                   1.737560290758392E-4
5.0E-5                   1.25E-5                  130000                   1.7388429889534908E-4
5.0E-5                   1.25E-5                  140000                   1.7394792996683372E-4
5.0E-5                   1.25E-5                  150000                   1.73991763805227E-4
5.0E-5                   1.25E-5                  160000                   1.7400202349827432E-4
5.0E-5                   1.25E-5                  170000                   1.7401018166093737E-4
5.0E-5                   1.25E-5                  180000                   1.7400644767810402E-4
5.0E-5                   1.25E-5                  190000                   1.7400442110586544E-4
5.0E-5                   1.25E-5                  200000                   1.7399982534408766E-4
5.0E-5                   2.0E-5                   0                        0
5.0E-5                   2.0E-5                   0.1                      0
5.0E-5                   2.0E-5                   0.2                      0
5.0E-5                   2.0E-5                   0.30000000000000004      0
5.0E-5                   2.0E-5                   0.4                      0
5.0E-5                   2.0E-5                   0.5                      0
5.0E-5                   2.0E-5                   0.6000000000000001       0
5.0E-5                   2.0E-5                   0.7000000000000001       0
5.0E-5                   2.0E-5                   0.8                      0
5.0E-5                   2.0E-5                   0.9                      0
5.0E-5                   2.0E-5                   1                        9.59679448005811E-7
5.0E-5                   2.0E-5                   1.1                      1.796228262413861E-6
5.0E-5                   2.0E-5                   1.2000000000000002       1.8117315601139008E-6
5.0E-5                   2.0E-5                   1.3                      1.8270605685300702E-6
5.0E-5                   2.0E-5                   1.4000000000000001       1.8423040639171187E-6
5.0E-5                   2.0E-5                   1.5                      1.857478773428808E-6
5.0E-5                   2.0E-5                   1.6                      1.8726005696028004E-6
5.0E-5                   2.0E-5                   1.7000000000000002       1.8875922219940486E-6
5.0E-5                   2.0E-5                   1.8                      1.9025136990701365E-6
5.0E-5                   2.0E-5                   1.9000000000000001       1.917388438281134E-6
5.0E-5                   2.0E-5                   2                        1.9322165354605215E-6
5.0E-5                   2.0E-5                   5                        2.3487773242278033E-6
5.0E-5                   2.0E-5                   10                       2.956770680793784E-6
5.0E-5                   2.0E-5                   100                      8.748922972279432E-6
5.0E-5                   2.0E-5                   100                      8.748922972279432E-6
5.0E-5                   2.0E-5                   200                      1.242441967280872E-5
5.0E-5                   2.0E-5                   300                      1.5229228732580232E-5
5.0E-5                   2.0E-5                   400                      1.759557609532325E-5
5.0E-5                   2.0E-5                   500                      1.9683612990725838E-5
5.0E-5                   2.0E-5                   600                      2.1563992821814537E-5
5.0E-5                   2.0E-5                   700                      2.3289376471436084E-5
5.0E-5                   2.0E-5                   800                      2.489349840693168E-5
5.0E-5                   2.0E-5                   900                      2.6397595090440177E-5
5.0E-5                   2.0E-5                   1000                     2.7819780785843978E-5
5.0E-5                   2.0E-5                   2000                     3.933715084697694E-5
5.0E-5                   2.0E-5                   3000                     4.8178489711989356E-5
5.0E-5                   2.0E-5                   4000                     5.560825904608406E-5
5.0E-5                   2.0E-5                   5000                     6.214574386471477E-5
5.0E-5                   2.0E-5                   6000                     6.80724285896275E-5
5.0E-5                   2.0E-5                   7000                     7.351652479599233E-5
5.0E-5                   2.0E-5                   8000                     7.856691843174937E-5
5.0E-5                   2.0E-5                   9000                     8.329921442837125E-5
5.0E-5                   2.0E-5                   10000                    8.776343912022811E-5
5.0E-5                   2.0E-5                   20000                    1.2233742863527658E-4
5.0E-5                   2.0E-5                   30000                    1.4383634254248653E-4
5.0E-5                   2.0E-5                   40000                    1.5659661128929607E-4
5.0E-5                   2.0E-5                   50000                    1.637544271645621E-4
5.0E-5                   2.0E-5                   60000                    1.6759382446503938E-4
5.0E-5                   2.0E-5                   70000                    1.695900776504908E-4
5.0E-5                   2.0E-5                   80000                    1.7067401196495054E-4
5.0E-5                   2.0E-5                   90000                    1.7129419397375834E-4
5.0E-5                   2.0E-5                   100000                   1.7164862193433419E-4
5.0E-5                   2.0E-5                   110000                   1.7191631197566626E-4
5.0E-5                   2.0E-5                   120000                   1.720849522328699E-4
5.0E-5                   2.0E-5                   130000                   1.7218877724048143E-4
5.0E-5                   2.0E-5                   140000                   1.722408177728248E-4
5.0E-5                   2.0E-5                   150000                   1.7226922534396044E-4
5.0E-5                   2.0E-5                   160000                   1.7227431959086515E-4
5.0E-5                   2.0E-5                   170000                   1.7227606642652708E-4
5.0E-5                   2.0E-5                   180000                   1.7227077250944243E-4
5.0E-5                   2.0E-5                   190000                   1.7226691548988238E-4
5.0E-5                   2.0E-5                   200000                   1.7226242275445513E-4
5.0E-5                   2.75E-5                  0                        0
5.0E-5                   2.75E-5                  0.1                      0
5.0E-5                   2.75E-5                  0.2                      0
5.0E-5                   2.75E-5                  0.30000000000000004      0
5.0E-5                   2.75E-5                  0.4                      0
5.0E-5                   2.75E-5                  0.5                      0
5.0E-5                   2.75E-5                  0.6000000000000001       0
5.0E-5                   2.75E-5                  0.7000000000000001       0
5.0E-5                   2.75E-5                  0.8                      0
5.0E-5                   2.75E-5                  0.9                      0
5.0E-5                   2.75E-5                  1                        9.713288268136957E-7
5.0E-5                   2.75E-5                  1.1                      1.8171479613644342E-6
5.0E-5                   2.75E-5                  1.2000000000000002       1.832819012254009E-6
5.0E-5                   2.75E-5                  1.3                      1.8483105413046504E-6
5.0E-5                   2.75E-5                  1.4000000000000001       1.8637145165123647E-6
5.0E-5                   2.75E-5                  1.5                      1.879048915012434E-6
5.0E-5                   2.75E-5                  1.6                      1.8943295972070275E-6
5.0E-5                   2.75E-5                  1.7000000000000002       1.9094763004737494E-6
5.0E-5                   2.75E-5                  1.8                      1.9245530042548014E-6
5.0E-5                   2.75E-5                  1.9000000000000001       1.9395823926910837E-6
5.0E-5                   2.75E-5                  2                        1.9545645595581233E-6
5.0E-5                   2.75E-5                  5                        2.3755991231350963E-6
5.0E-5                   2.75E-5                  10                       2.989445489966319E-6
5.0E-5                   2.75E-5                  100                      8.858947283419751E-6
5.0E-5                   2.75E-5                  100                      8.858947283419751E-6
5.0E-5                   2.75E-5                  200                      1.2579304121052254E-5
5.0E-5                   2.75E-5                  300                      1.5417759290549416E-5
5.0E-5                   2.75E-5                  400                      1.7811947545723565E-5
5.0E-5                   2.75E-5                  500                      1.992496472210221E-5
5.0E-5                   2.75E-5                  600                      2.1828780464320807E-5
5.0E-5                   2.75E-5                  700                      2.357557996306238E-5
5.0E-5                   2.75E-5                  800                      2.5199683954463622E-5
5.0E-5                   2.75E-5                  900                      2.6721866013568993E-5
5.0E-5                   2.75E-5                  1000                     2.816072203457487E-5
5.0E-5                   2.75E-5                  2000                     3.980990321931891E-5
5.0E-5                   2.75E-5                  3000                     4.874831484423491E-5
5.0E-5                   2.75E-5                  4000                     5.6258660458566976E-5
5.0E-5                   2.75E-5                  5000                     6.285960384587085E-5
5.0E-5                   2.75E-5                  6000                     6.883791700520668E-5
5.0E-5                   2.75E-5                  7000                     7.432952713054902E-5
5.0E-5                   2.75E-5                  8000                     7.941639017942883E-5
5.0E-5                   2.75E-5                  9000                     8.41752434469241E-5
5.0E-5                   2.75E-5                  10000                    8.865510783949073E-5
5.0E-5                   2.75E-5                  20000                    1.2301180587528438E-4
5.0E-5                   2.75E-5                  30000                    1.439497022920796E-4
5.0E-5                   2.75E-5                  40000                    1.561392311851504E-4
5.0E-5                   2.75E-5                  50000                    1.628492351705224E-4
5.0E-5                   2.75E-5                  60000                    1.6637618467999234E-4
5.0E-5                   2.75E-5                  70000                    1.6815470909339224E-4
5.0E-5                   2.75E-5                  80000                    1.691074292127524E-4
5.0E-5                   2.75E-5                  90000                    1.6961140112002943E-4
5.0E-5                   2.75E-5                  100000                   1.6994779312228615E-4
5.0E-5                   2.75E-5                  110000                   1.7018935677070248E-4
5.0E-5                   2.75E-5                  120000                   1.7034459660328035E-4
5.0E-5                   2.75E-5                  130000                   1.7044585647018215E-4
5.0E-5                   2.75E-5                  140000                   1.7049400997053892E-4
5.0E-5                   2.75E-5                  150000                   1.7052585652299113E-4
5.0E-5                   2.75E-5                  160000                   1.705311813380453E-4
5.0E-5                   2.75E-5                  170000                   1.7053564106255304E-4
5.0E-5                   2.75E-5                  180000                   1.7053116886356443E-4
5.0E-5                   2.75E-5                  190000                   1.705286759380251E-4
5.0E-5                   2.75E-5                  200000                   1.7052462071755979E-4
5.0E-5                   3.5000000000000004E-5    0                        0
5.0E-5                   3.5000000000000004E-5    0.1                      0
5.0E-5                   3.5000000000000004E-5    0.2                      0
5.0E-5                   3.5000000000000004E-5    0.30000000000000004      0
5.0E-5                   3.5000000000000004E-5    0.4                      0
5.0E-5                   3.5000000000000004E-5    0.5                      0
5.0E-5                   3.5000000000000004E-5    0.6000000000000001       0
5.0E-5                   3.5000000000000004E-5    0.7000000000000001       0
5.0E-5                   3.5000000000000004E-5    0.8                      0
5.0E-5                   3.5000000000000004E-5    0.9                      0
5.0E-5                   3.5000000000000004E-5    1                        9.87684394791759E-7
5.0E-5                   3.5000000000000004E-5    1.1                      1.8388430817596528E-6
5.0E-5                   3.5000000000000004E-5    1.2000000000000002       1.8544346467462094E-6
5.0E-5                   3.5000000000000004E-5    1.3                      1.8699527575114086E-6
5.0E-5                   3.5000000000000004E-5    1.4000000000000001       1.885389108791442E-6
5.0E-5                   3.5000000000000004E-5    1.5                      1.900759722440045E-6
5.0E-5                   3.5000000000000004E-5    1.6                      1.9160793742024007E-6
5.0E-5                   3.5000000000000004E-5    1.7000000000000002       1.9312792593525197E-6
5.0E-5                   3.5000000000000004E-5    1.8                      1.946407275223215E-6
5.0E-5                   3.5000000000000004E-5    1.9000000000000001       1.961490049002342E-6
5.0E-5                   3.5000000000000004E-5    2                        1.9765276669197666E-6
5.0E-5                   3.5000000000000004E-5    5                        2.4004379249158995E-6
5.0E-5                   3.5000000000000004E-5    10                       3.0225186871037636E-6
5.0E-5                   3.5000000000000004E-5    100                      8.988797856634934E-6
5.0E-5                   3.5000000000000004E-5    100                      8.988797856634934E-6
5.0E-5                   3.5000000000000004E-5    200                      1.2766260791077267E-5
5.0E-5                   3.5000000000000004E-5    300                      1.5647328770419337E-5
5.0E-5                   3.5000000000000004E-5    400                      1.8079502174281614E-5
5.0E-5                   3.5000000000000004E-5    500                      2.0213896540577805E-5
5.0E-5                   3.5000000000000004E-5    600                      2.2148537985992393E-5
5.0E-5                   3.5000000000000004E-5    700                      2.39239670891691E-5
5.0E-5                   3.5000000000000004E-5    800                      2.557462327452917E-5
5.0E-5                   3.5000000000000004E-5    900                      2.712262741229582E-5
5.0E-5                   3.5000000000000004E-5    1000                     2.8585496779799082E-5
5.0E-5                   3.5000000000000004E-5    2000                     4.040432735739375E-5
5.0E-5                   3.5000000000000004E-5    3000                     4.9449282012709796E-5
5.0E-5                   3.5000000000000004E-5    4000                     5.707164786629266E-5
5.0E-5                   3.5000000000000004E-5    5000                     6.376349280139438E-5
5.0E-5                   3.5000000000000004E-5    6000                     6.979839398080891E-5
5.0E-5                   3.5000000000000004E-5    7000                     7.532744120804475E-5
5.0E-5                   3.5000000000000004E-5    8000                     8.044700623819344E-5
5.0E-5                   3.5000000000000004E-5    9000                     8.522525879116353E-5
5.0E-5                   3.5000000000000004E-5    10000                    8.971550726619078E-5
5.0E-5                   3.5000000000000004E-5    20000                    1.2370649183206865E-4
5.0E-5                   3.5000000000000004E-5    30000                    1.4400129597243698E-4
5.0E-5                   3.5000000000000004E-5    40000                    1.5558553219057096E-4
5.0E-5                   3.5000000000000004E-5    50000                    1.6184135253490665E-4
5.0E-5                   3.5000000000000004E-5    60000                    1.6510353631057792E-4
5.0E-5                   3.5000000000000004E-5    70000                    1.667196970371273E-4
5.0E-5                   3.5000000000000004E-5    80000                    1.6758148919377913E-4
5.0E-5                   3.5000000000000004E-5    90000                    1.6806824824372362E-4
5.0E-5                   3.5000000000000004E-5    100000                   1.6835575662873224E-4
5.0E-5                   3.5000000000000004E-5    110000                   1.6855446289096456E-4
5.0E-5                   3.5000000000000004E-5    120000                   1.6868121286602557E-4
5.0E-5                   3.5000000000000004E-5    130000                   1.6874924294036514E-4
5.0E-5                   3.5000000000000004E-5    140000                   1.6878703482609998E-4
5.0E-5                   3.5000000000000004E-5    150000                   1.6879913078130958E-4
5.0E-5                   3.5000000000000004E-5    160000                   1.688019871849368E-4
5.0E-5                   3.5000000000000004E-5    170000                   1.687988288060813E-4
5.0E-5                   3.5000000000000004E-5    180000                   1.687930280882134E-4
5.0E-5                   3.5000000000000004E-5    190000                   1.687884029187441E-4
5.0E-5                   3.5000000000000004E-5    200000                   1.6878577594740728E-4
8.0E-5                   5.0E-6                   0                        0
8.0E-5                   5.0E-6                   0.1                      0
8.0E-5                   5.0E-6                   0.2                      0
8.0E-5                   5.0E-6                   0.30000000000000004      0
8.0E-5                   5.0E-6                   0.4                      0
8.0E-5                   5.0E-6                   0.5                      0
8.0E-5                   5.0E-6                   0.6000000000000001       0
8.0E-5                   5.0E-6                   0.7000000000000001       0
8.0E-5                   5.0E-6                   0.8                      0
8.0E-5                   5.0E-6                   0.9                      0
8.0E-5                   5.0E-6                   1                        9.454408621227714E-7
8.0E-5                   5.0E-6                   1.1                      1.7702122715949E-6
8.0E-5                   5.0E-6                   1.2000000000000002       1.785235202039516E-6
8.0E-5                   5.0E-6                   1.3                      1.8002837242059334E-6
8.0E-5                   5.0E-6                   1.4000000000000001       1.8152465028703968E-6
8.0E-5                   5.0E-6                   1.5                      1.8301462318194308E-6
8.0E-5                   5.0E-6                   1.6                      1.8449947573193628E-6
8.0E-5                   5.0E-6                   1.7000000000000002       1.8597112121610108E-6
8.0E-5                   5.0E-6                   1.8                      1.8743667174469127E-6
8.0E-5                   5.0E-6                   1.9000000000000001       1.8889769466640108E-6
8.0E-5                   5.0E-6                   2                        1.9035419894657955E-6
8.0E-5                   5.0E-6                   5                        2.3131124791388626E-6
8.0E-5                   5.0E-6                   10                       2.912008341491246E-6
8.0E-5                   5.0E-6                   100                      8.628154354320203E-6
8.0E-5                   5.0E-6                   100                      8.628154354320203E-6
8.0E-5                   5.0E-6                   200                      1.225335715958633E-5
