% Model:              C52_3D_base_unit_cell_recesses(squarerecesses4x4).mph
% Version:            COMSOL 5.2.0.220
% Date:               Aug 8 2026, 21:29
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% Time (s)               Total moles of CO2 captured per unit cell (mol)
0                        0
0.1                      0
0.2                      0
0.30000000000000004      0
0.4                      0
0.5                      0
0.6000000000000001       0
0.7000000000000001       0
0.8                      0
0.9                      0
1                        4.666558453855286E-5
1.1                      8.542550641612615E-5
1.2000000000000002       8.56017846147921E-5
1.3                      8.577781799074499E-5
1.4000000000000001       8.595362542190083E-5
1.5                      8.612917391807732E-5
1.6                      8.630454383930983E-5
1.7000000000000002       8.647970315236595E-5
1.8                      8.665446203681395E-5
1.9000000000000001       8.682904905837686E-5
2                        8.700346431459906E-5
5                        9.212870105790522E-5
10                       1.0029649994880797E-4
100                      2.0415137230342959E-4
100                      2.0415137230342959E-4
200                      2.8071952170583117E-4
300                      3.409627423357722E-4
400                      3.9201284710866085E-4
500                      4.3688829293063523E-4
600                      4.772803637197944E-4
700                      5.142119827476213E-4
800                      5.484128096982525E-4
900                      5.804298806338742E-4
1000                     6.105553203477173E-4
2000                     8.478927361474203E-4
3000                     0.001022102418394197
4000                     0.0011610847793602026
5000                     0.0012742579642723842
6000                     0.0013676756939367204
7000                     0.001445499842761122
8000                     0.0015104671876908055
9000                     0.001564719278860603
10000                    0.0016100325909528122
20000                    0.0017984606417416
30000                    0.0018270496886399288
40000                    0.0018330209973979818
50000                    0.0018336850401123972
60000                    0.0018338424294613378
70000                    0.0018338979162963005
80000                    0.0018339159017943581
90000                    0.00183392822639791
100000                   0.001833931244797517
110000                   0.0018339328583906428
120000                   0.0018339339853920592
130000                   0.0018339350389393533
140000                   0.0018339353559015078
150000                   0.0018339355616726527
160000                   0.0018339357015872341
170000                   0.0018339357821836094
180000                   0.0018339358043447098
190000                   0.0018339358221962094
200000                   0.0018339358324474335
