family,volume_type,R,H,SA,V,n_t500,n_t2000,n_t15000,n_near_eq,n_eq,n_eq_per_V,pct_eq_t15000,early_leadership_share,SA_V,L_c,n_t500_kg,n_t2000_kg,n_t15000_kg,n_near_eq_kg,n_eq_kg,n_eq_per_V_kg
square_recessed,removed,5e-06,2.75e-05,1.0274999999999965e-08,4.993124999999985e-13,1.999970216566841e-05,4.001463873269203e-05,0.00010657873721913218,0.00017665666477386445,0.00017665666477386445,353799804.27861303,60.33100271397177,0.0,20578.295155839267,4.859489051094893e-05,8.801868923110667e-07,1.7610442506257763e-06,4.6905302250140075e-06,7.774659816697775e-06,7.774659816697775e-06,15570729.38630176
square_recessed,removed,5e-06,3.5e-05,1.0350000000000076e-08,4.991249999999987e-13,2.01711587238236e-05,4.0453837341603485e-05,0.00010768939141655255,0.00017658983002333595,0.00017658983002333595,353798807.96060383,60.98278219211244,0.0,20736.288504883752,4.8224637681158946e-05,8.877326954354766e-07,1.7803733814039693e-06,4.739410116242478e-06,7.771718419327015e-06,7.771718419327015e-06,15570685.538346175
square_recessed,removed,1e-05,5e-06,1.0100000000000004e-08,4.994999999999988e-13,1.951740728380821e-05,3.895082589887944e-05,0.00010434884875660627,0.00017672369322467032,0.00017672369322467032,353801187.63697845,59.04632641642833,0.0,20220.220220220275,4.945544554455432e-05,8.589610945603994e-07,1.7142258478096842e-06,4.592392833778242e-06,7.77760973881774e-06,7.77760973881774e-06,15570790.267903421
square_recessed,removed,1e-05,1.25e-05,1.0249999999999936e-08,4.987499999999985e-13,1.9822808205488602e-05,3.947845362491551e-05,0.00010516953270376605,0.0001764580905992212,0.0001764580905992212,353800682.9057078,59.60028942092056,0.0,20551.378446115225,4.8658536585366005e-05,8.724017891235533e-07,1.7374467440325316e-06,4.628511134292744e-06,7.765920567271725e-06,7.765920567271725e-06,15570768.0546802
square_recessed,removed,1e-05,2e-05,1.0399999999999989e-08,4.979999999999987e-13,2.0152812265173145e-05,4.015752230982075e-05,0.00010645440578871206,0.0001761917199264842,0.0001761917199264842,353798634.3905315,60.41964164554955,0.0,20883.53413654622,4.7884615384615306e-05,8.869252677902701e-07,1.7673325568552112e-06,4.685058398761218e-06,7.75419759396457e-06,7.75419759396457e-06,15570677.89952729
square_recessed,removed,1e-05,2.75e-05,1.0549999999999999e-08,4.972499999999985e-13,2.0483142470860193e-05,4.087341796126403e-05,0.00010796820862725381,0.0001759286502147818,0.0001759286502147818,353803218.1292757,61.37045245071865,0.0,21216.69180492716,4.713270142180081e-05,9.014631001425571e-07,1.7988391244752298e-06,4.751680861685441e-06,7.742619895952547e-06,7.742619895952547e-06,15570879.629869422
square_recessed,removed,1e-05,3.5e-05,1.0699999999999965e-08,4.964999999999987e-13,2.0807961775526275e-05,4.1595983993556237e-05,0.00010938441230874869,0.00017565964747087137,0.00017565964747087137,353795866.00377,62.27065457756158,0.0,21550.85599194359,4.640186915887854e-05,9.157583977409113e-07,1.8306392555564099e-06,4.81400798570803e-06,7.73078108519305e-06,7.73078108519305e-06,15570556.062825918
square_recessed,removed,2e-05,5e-06,1.0200000000000298e-08,4.97999999999999e-13,1.962632052638065e-05,3.909680417085545e-05,0.00010452465469295088,0.0001761920200917059,0.0001761920200917059,353799237.13194025,59.32428417504211,0.0,20481.927710844015,4.882352941176318e-05,8.637543663660124e-07,1.7206503515593483e-06,4.600130053036769e-06,7.754210804235976e-06,7.754210804235976e-06,15570704.42617669
square_recessed,removed,2e-05,1.25e-05,1.0500000000000185e-08,4.949999999999985e-13,2.0205109085579864e-05,4.0068977703389105e-05,0.00010597752097896886,0.0001751317152723317,0.0001751317152723317,353801444.9946106,60.513037752284134,0.0,21212.12121212165,4.714285714285617e-05,8.892268508563698e-07,1.7634357087261544e-06,4.6640706982844194e-06,7.707546789135319e-06,7.707546789135319e-06,15570801.594212813
square_recessed,removed,2e-05,2e-05,1.0800000000000242e-08,4.919999999999986e-13,2.082154754264467e-05,4.1287072469565254e-05,0.00010804989639949517,0.00017406716460572662,0.00017406716460572662,353795050.0116405,62.07368095196769,0.0,21951.219512195676,4.555555555555441e-05,9.16356307351792e-07,1.8170440593855668e-06,4.755275940541782e-06,7.660695914298028e-06,7.660695914298028e-06,15570520.151012298
