geometry,R,H,k,r2_early,t_cross,n_eq,t_fit_start,t_fit_window,fit_method,anchor_t,q_ratio_anchor,deviation_anchor,alpha_anchor
edges,5e-06,1.25e-05,9.312672993311814e-07,0.9993030057860617,20000.0,0.00017579170885343505,5,500,median_ratio,2000,0.981968373177184,-0.018031626822816005,0.48844023015823657
edges,5e-06,2e-05,9.912430683764677e-07,0.999200688253789,8000.0,0.00017512564988377628,5,500,median_ratio,2000,0.9759348827086439,-0.024065117291356075,0.4828656569561173
edges,5e-06,2.75e-05,1.0539458364302102e-06,0.9992221315049851,6000.0,0.00017445041163631383,5,500,median_ratio,2000,0.9741577381306656,-0.02584226186933436,0.4809068788696577
edges,5e-06,3.5000000000000004e-05,1.1173453968655269e-06,0.9992205626238413,5000.0,0.0001737946140811956,5,500,median_ratio,2000,0.9739203331811339,-0.026079666818866087,0.4802533313805436
edges,1e-05,5e-06,8.754476929337611e-07,0.9993189114133528,40000.0,0.00017601396800739574,5,500,median_ratio,2000,0.9979059279858963,-0.0020940720141037206,0.49864509668750384
edges,1e-05,1.25e-05,9.133141160123428e-07,0.9992963666767267,30000.0,0.000174686662601958,5,500,median_ratio,2000,0.9899335508809167,-0.010066449119083276,0.4927641610384041
edges,1e-05,2e-05,9.65064260273258e-07,0.9992667333444049,20000.0,0.0001733560497183692,5,500,median_ratio,2000,0.9846982740457294,-0.015301725954270595,0.4876707415990794
edges,1e-05,2.75e-05,1.0238036270678397e-06,0.9993246164096475,9000.0,0.00017202784832315507,5,500,median_ratio,2000,0.98103812269271,-0.018961877307290043,0.4851331725231197
edges,1e-05,3.5000000000000004e-05,1.0849447063013736e-06,0.9993284005956282,7000.0,0.00017068853832427535,5,500,median_ratio,2000,0.9791915054624066,-0.02080849453759337,0.4836600901697078
edges,2e-05,5e-06,8.7177929482523e-07,0.9993832132066441,40000.0,0.00017512947198585673,5,500,median_ratio,2000,0.9995941360818814,-0.00040586391811858746,0.49979446847331704
